service_id,date,exception_type
114-Weekday-1-DEC16-1111100,20170131,1
114-Weekday-1-DEC16-1111100,20170201,1
114-Weekday-1-DEC16-1111100,20170202,1
114-Weekday-1-DEC16-1111100,20170203,1
114-Weekday-1-DEC16-1111100,20170206,1
114-Weekday-1-DEC16-1111100,20170207,1
114-Weekday-1-DEC16-1111100,20170208,1
114-Weekday-1-DEC16-1111100,20170209,1
114-Weekday-1-DEC16-1111100,20170210,1
115-Saturday-1-DEC16-0000010,20170114,1
115-Saturday-1-DEC16-0000010,20170121,1
115-Saturday-1-DEC16-0000010,20170128,1
115-Saturday-1-DEC16-0000010,20170204,1
115-Saturday-1-DEC16-0000010,20170211,1
115-Sunday-1-DEC16-0000001,20170115,1
115-Sunday-1-DEC16-0000001,20170122,1
115-Sunday-1-DEC16-0000001,20170129,1
115-Sunday-1-DEC16-0000001,20170205,1
115-Weekday-1-DEC16-1111100,20170111,1
115-Weekday-1-DEC16-1111100,20170112,1
115-Weekday-1-DEC16-1111100,20170113,1
115-Weekday-1-DEC16-1111100,20170116,1
115-Weekday-1-DEC16-1111100,20170117,1
115-Weekday-1-DEC16-1111100,20170118,1
115-Weekday-1-DEC16-1111100,20170119,1
115-Weekday-1-DEC16-1111100,20170120,1
115-Weekday-1-DEC16-1111100,20170123,1
115-Weekday-1-DEC16-1111100,20170124,1
115-Weekday-1-DEC16-1111100,20170125,1
115-Weekday-1-DEC16-1111100,20170126,1
115-Weekday-1-DEC16-1111100,20170127,1
115-Weekday-1-DEC16-1111100,20170130,1
115-Weekday-1-DEC16-1111100,20170131,1
115-Weekday-1-DEC16-1111100,20170201,1
115-Weekday-1-DEC16-1111100,20170202,1
115-Weekday-1-DEC16-1111100,20170203,1
115-Weekday-1-DEC16-1111100,20170206,1
115-Weekday-1-DEC16-1111100,20170207,1
115-Weekday-1-DEC16-1111100,20170208,1
115-Weekday-1-DEC16-1111100,20170209,1
115-Weekday-1-DEC16-1111100,20170210,1
117-Saturday-1-DEC16-0000010,20170114,1
117-Saturday-1-DEC16-0000010,20170121,1
117-Saturday-1-DEC16-0000010,20170128,1
117-Saturday-1-DEC16-0000010,20170204,1
117-Saturday-1-DEC16-0000010,20170211,1
117-Sunday-1-DEC16-0000001,20170115,1
117-Sunday-1-DEC16-0000001,20170122,1
117-Sunday-1-DEC16-0000001,20170129,1
117-Sunday-1-DEC16-0000001,20170205,1
117-Weekday-1-DEC16-1111100,20170111,1
117-Weekday-1-DEC16-1111100,20170112,1
117-Weekday-1-DEC16-1111100,20170113,1
117-Weekday-1-DEC16-1111100,20170116,1
117-Weekday-1-DEC16-1111100,20170117,1
117-Weekday-1-DEC16-1111100,20170118,1
117-Weekday-1-DEC16-1111100,20170119,1
117-Weekday-1-DEC16-1111100,20170120,1
117-Weekday-1-DEC16-1111100,20170123,1
117-Weekday-1-DEC16-1111100,20170124,1
117-Weekday-1-DEC16-1111100,20170125,1
117-Weekday-1-DEC16-1111100,20170126,1
117-Weekday-1-DEC16-1111100,20170127,1
117-Weekday-1-DEC16-1111100,20170130,1
117-Weekday-1-DEC16-1111100,20170131,1
117-Weekday-1-DEC16-1111100,20170201,1
